Strain,Rating,Description,Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Flavor_1,Flavor_2,Flavor_3,Type,pr_words
Romulan,4.2,"romulan, named after the alien star trek race, is a powerful indica revered for its potent therapeutic qualities. though mostly indica, romulan growers insist sativa genetics have crept in over time, lending it intense cerebral effects. these squat, pine-scented plants produce dense frosty buds that have found their following among connoisseurs in british columbia and the pacific northwest. a deep, sedating relaxation makes romulan a favorite strain for patients treating muscle spasms and nerve damage. many hybridized variations of romulan exist, but nearly all can promise a full body calm with heavily intoxicating properties.",Relaxed,Happy,Sleepy,Uplifted,Euphoric,Earthy,Sweet,Pine,2,romulan named alien star trek race powerful indica revered potent therapeutic qualities though mostly indica romulan growers insist sativa genetics crept time lending intense cerebral effects squat plants produce dense frosty buds found following among connoisseurs british columbia pacific northwest deep sedating relaxation makes romulan favorite strain patients treating muscle spasms nerve damage many hybridized variations romulan exist nearly promise full body calm heavily intoxicating properties
Romulan-Grapefruit,4.3,"top quality hybrid, amazingly strong scent. grows like the grapefruit in size and stature but has a bigger punch and stronger smell due to the romulan influence.",Relaxed,Euphoric,Sleepy,Happy,Tingly,Grapefruit,Citrus,Sweet,0,top quality hybrid amazingly strong scent grows like grapefruit size stature bigger punch stronger smell due romulan influence
Romulan-Haze,4.5,"romulan haze by next generation seeds is a clear-headed hybrid ready for all day consumption. mind your dosage and this strain will keep you lucid and productive, stimulating the body and calming the mind, allowing the consumer to remain focused. the strain becomes weighted and whimsical with continued consumption. romulan haze is an excellent strain for spurring creativity and focus.",Energetic,Focused,Relaxed,Euphoric,Happy,Pungent,Citrus,Sweet,0,romulan haze next generation seeds hybrid ready day consumption mind dosage strain keep lucid productive stimulating body calming mind allowing consumer remain focused strain becomes weighted whimsical continued consumption romulan haze excellent strain spurring creativity focus
Rose-Bud,4.2,"rose bud by royal choice farms in an indica-dominant cross with an enticing floral aroma. known for its skunky rose smell and dense node clusters, rose bud offers consumers a relaxing buzz with a pleasant mental sizzle. this strain falls under the “beach chair” category, imbuing the consumer with an elevated, laid-back mood.",Euphoric,Uplifted,Relaxed,Creative,Energetic,Rose,Flowery,Sweet,2,rose bud royal choice farms cross enticing floral aroma known skunky rose smell dense node clusters rose bud offers consumers relaxing buzz pleasant mental sizzle strain falls beach chair category imbuing consumer elevated mood
Royal-Chemdawg,4.3,"though this hybrid has some sativa in its lineage, royal chemdog is a true indica at heart. a knockout cross between chemdawg 91 and deadhead og, royal chemdog provides consumers with a relaxing buzz, if a bit cerebral. royal has inherited the classic diesel taste of the chemdawg family, yet features a creamy lemon-lime twist, giving this strain a unique and delicious aroma. first cultivated in washington state, this strain is a must-try for patients experiencing pain and stress. ",Relaxed,Sleepy,Creative,Hungry,Uplifted,Diesel,Citrus,Strawberry,0,though hybrid sativa lineage royal chemdog true indica heart knockout cross chemdawg deadhead og royal chemdog provides consumers relaxing buzz bit cerebral royal inherited classic diesel taste chemdawg family yet features creamy twist giving strain unique delicious aroma first cultivated washington state strain patients experiencing pain stress
Royal-Dwarf,4.4,"royal dwarf is a full-body hybrid bred by royal queen seeds in spain through crossing skunk with a cannabis ruderalis variety. the result is a stout plant that autoflowers in a short 6 to 7 weeks with dark, crystal-sugared buds. its effects quickly branch throughout the body, inducing head-to-toe relaxation that’s more physical than cerebral.",Happy,Relaxed,Hungry,Tingly,Aroused,Skunk,Honey,Lemon,0,royal dwarf hybrid bred royal queen seeds spain crossing skunk cannabis ruderalis variety result stout plant autoflowers short weeks dark buds effects quickly branch throughout body inducing relaxation physical cerebral
Royal-Haze,4.6,"royal haze (or royale haze) by dinafem seeds is a mostly sativa strain bred from skunk, haze, and northern lights genetics. taking after her haze parent, this sativa inherits a spicy citrus flavor and buzzing, energetic effects that keep you alert and productive throughout the day. outdoor growers will appreciate her flexibility and resilience even when the temperature drops, although her 10-11 week flowering cycle demands a bit of patience.an autoflowering rendition of royal haze was bred by royal queen seeds, who mixed amnesia haze, skunk, and a ruderalis strain. its effects are similarly energizing and cerebral.",Uplifted,Happy,Relaxed,Talkative,Energetic,Citrus,Tropical,Skunk,1,royal haze royale haze dinafem seeds mostly sativa strain bred skunk haze northern lights genetics taking haze parent sativa inherits spicy citrus flavor buzzing energetic effects keep alert productive throughout day outdoor growers appreciate flexibility resilience even temperature drops although week flowering cycle demands bit autoflowering rendition royal haze bred royal queen seeds mixed amnesia haze skunk ruderalis strain effects similarly energizing cerebral
Royal-Highness,4.8,"royal highness, 3rd place winner of best cbd flower at the 2016 colorado cannabis cup, is a hybrid bred by royal queen seeds. its combination of dance hall and respect genetics express themselves in a nearly balanced thc:cbd ratio. while indica in stature, the effects of royal highness are led by its sativa influence. the result is an active, energetic buzz that rewards consumers with a clear head along with its therapeutic qualities. the smooth flavors of royal highness bring to mind sweet fruit and skunky spice, making this strain an enjoyable answer to anxiety and chronic pain.",Happy,Relaxed,Energetic,Uplifted,Focused,Flowery,Earthy,Cheese,0,royal highness place winner best cbd flower colorado cannabis cup hybrid bred royal queen seeds combination dance hall respect genetics express nearly balanced thc cbd ratio indica stature effects royal highness led sativa influence result active energetic buzz rewards consumers clear head along therapeutic qualities smooth flavors royal highness bring mind sweet fruit skunky spice making strain enjoyable answer anxiety chronic pain
Royal-Kush,4.2,"royal kush by g13 labs is a king among hybrids, delivering powerful trance-like effects with an earthy, skunky aroma. this balanced hybrid descends from the renowned line of afghani and skunk #1, two strains that have gained legendary status among cannabis breeders. royal kush’s happy, euphoric relaxation branches out in full-body effects that later ease into deep restfulness conducive for sleep. patients treating stress, pain, and nausea can benefit from royal kush’s potent relief, but less seasoned consumers should take caution with this hard-hitter. this strain has a unique coverage of white pistil hairs, and growers are recommended an 8 to 13 week flowering time for their indoor royal kush plants.",Relaxed,Sleepy,Happy,Euphoric,Hungry,Woody,Earthy,Skunk,0,royal kush labs king among hybrids delivering powerful effects earthy skunky aroma balanced hybrid descends renowned line afghani skunk two strains gained legendary status among cannabis breeders royal kush happy euphoric relaxation branches effects later ease deep restfulness conducive sleep patients treating stress pain nausea benefit royal kush potent relief less seasoned consumers take caution strain unique coverage white pistil hairs growers recommended week flowering time indoor royal kush plants
Royal-Tree-Sherbet,5.0,"sherbet by royal tree gardens is another genetically distinct strain under a familiar name. royal tree’s sherbet cut is close to the original, crossing an unknown purple cookies with platinum girl scout cookies. this twice-deep mixture of cookies genetics gives the plant a sweet, sugary aroma that is as alluring on the nose as it is on the palate. sherbet provides a clear-headed and uplifting mental state, and a pleasant terpene profile that is sure to excite novice and seasoned consumers alike.  ",Relaxed,,,,,Tropical,Sweet,Berry,0,sherbet royal tree gardens another genetically distinct strain familiar name royal tree sherbet cut close original crossing unknown purple cookies platinum girl scout cookies mixture cookies genetics gives plant sweet sugary aroma alluring nose palate sherbet provides uplifting mental state pleasant terpene profile sure excite novice seasoned consumers alike
Rubicon,4.5,"rubicon, 2016 colorado cannabis cup winner of best cbd flower, is a utilitarian indica-dominant hybrid. this 1:1 thc/cbd hybrid offers about 9% on either cannabinoid, creating a pleasant smoke for consumers seeking a mild body buzz with anti-inflammatory qualities. use this strain to temper nausea and physical discomfort, or as an addition to any bowl or joint for complimentary cbd goodness.   ",Relaxed,Focused,Uplifted,Happy,Hungry,Earthy,Pungent,Grapefruit,0,rubicon colorado cannabis cup winner best cbd flower utilitarian hybrid hybrid offers either cannabinoid creating pleasant smoke consumers seeking mild body buzz qualities use strain temper nausea physical discomfort addition bowl joint complimentary cbd goodness
Rudeboi-Og,4.8,"bred by archive seeds, rudeboi og is an indica-dominant hybrid cannabis strain that brings together genetics from two og kush phenotypes, irene og and a backcrossed face off og. the hashy kush aroma typically found in og varieties comes out strong in this hybrid, providing a flavorful introduction with a refreshing finish. rudeboi og produces potently sublime, relaxing effects that envelopes both mind and body.",Relaxed,Uplifted,Euphoric,Hungry,Happy,Pine,Earthy,Flowery,0,bred archive seeds rudeboi og hybrid cannabis strain brings together genetics two og kush phenotypes irene og backcrossed face og hashy kush aroma typically found og varieties comes strong hybrid providing flavorful introduction refreshing finish rudeboi og produces potently sublime relaxing effects envelopes mind body
Rug-Burn-Og,4.4,"rug burn og took 3rd place for hybrids at the 2012 high times cannabis cup. by crossing ghost og with rare dankness #1, rare dankness seeds has created a pungent flavor mix of sour citrus and hints of diesel that sting the senses. though listed as an indica-leaning hybrid, rug burn provides an uplifting effect that helped it make its way onto high times’ list of “earth’s strongest strains 2014.”",Euphoric,Relaxed,Happy,Hungry,Sleepy,Citrus,Spicy/Herbal,Pungent,0,rug burn og took place hybrids high times cannabis cup crossing ghost og rare dankness rare dankness seeds created pungent flavor mix sour citrus hints diesel sting senses though listed hybrid rug burn provides uplifting effect helped make way onto high times list earth strongest strains
Russian-Assassin,4.9,"russian assassin, also known as russian assassin og, is an indica-dominant hybrid that crosses skywalker, lemon og kush, and headband. the resulting buds are large, chunky, and covered in trichomes with dark red pistils throughout. russian assassin’s piney fragrance shifts to a minty flavor on exhale and produces a rush of tingly cerebral activity that is felt immediately before giving way to a powerful, relaxing body buzz.",Relaxed,Euphoric,Happy,Sleepy,Tingly,Diesel,Skunk,Ammonia,2,russian assassin also known russian assassin og hybrid crosses skywalker lemon og kush headband resulting buds large chunky covered trichomes dark red pistils throughout russian assassin piney fragrance shifts minty flavor exhale produces rush tingly cerebral activity felt immediately giving way powerful relaxing body buzz
Russian-Rocket-Fuel,4.1,"russian rocket fuel is the hybrid product of a cross between nyc diesel and an unknown indica. typically flowering in 8-10 weeks, this strain is a moderately easy grow for both indoor and outdoor plots. while this strain is perfect for easing stomach pain and increasing appetite, most of its effects are felt in the head. euphoric and focused, russian rocket fuel’s sativa effects are felt upon first taste. like many other hybrids, however, the indica body-heavy sensation presents itself over time. as its name suggests, this strain also features a pungent, fuel-like aroma.",Happy,Relaxed,Euphoric,Giggly,Uplifted,Spicy/Herbal,Menthol,Diesel,0,russian rocket fuel hybrid product cross nyc diesel unknown indica typically flowering weeks strain moderately easy grow indoor outdoor plots strain perfect easing stomach pain increasing appetite effects felt head euphoric focused russian rocket fuel sativa effects felt upon first taste like many hybrids however indica sensation presents time name suggests strain also features pungent aroma
Sage,4.2,"s.a.g.e. stands for sativa afghani genetic equilibrium, it is a well balanced haze crossed with a robust indica strain.  containing over 20% thc it took 2nd place in the blind test at the 2001 cannabis cup.  spicy sandalwood flavor combined with a long lasting and uplifting high make this the plant for those who like the best.",Happy,Euphoric,Relaxed,Uplifted,Energetic,Sage,Pungent,Diesel,0,stands sativa afghani genetic equilibrium well balanced haze crossed robust indica strain containing thc took place blind test cannabis cup spicy sandalwood flavor combined long lasting uplifting high make plant like best
Sfv-Dog,4.5,"sfv dog by royal choice farms is a savory sfv og x chemdawg 4 cross exhibiting a pungent and unique terpene profile. described by the grower as a “meaty, classic og with a punch,” sfv dog combines strong hybrid genetics known for their high thc% and potent effects. this strain’s fast onset and heavy body buzz make it ideal for enjoying into the evening. sfv dog’s skunky, fueled meaty aroma will expand the consumer’s palate while preparing them for rest and relaxation.    ",Relaxed,Happy,Uplifted,Euphoric,Focused,Pine,Citrus,Diesel,0,sfv dog royal choice farms savory sfv og x chemdawg cross exhibiting pungent unique terpene profile described grower meaty classic og punch sfv dog combines strong hybrid genetics known high thc potent effects strain fast onset heavy body buzz make ideal enjoying evening sfv dog skunky fueled meaty aroma expand consumer palate preparing rest relaxation
Sfv-Og,4.4,"sfv og by cali connection is a sativa-dominant hybrid that is great for patients who need strong pain relief but don’t want to be stuck on the couch. as the name indicates, this og kush relative originates from california’s san fernando valley. although their names are barely distinguishable, sfv og kush is actually the afghani-crossed child to sfv og. the flowers will stay fairly small and may not look super impressive, but what it lacks in looks it makes up for in smell. the pine and lemon earthiness that sfv exudes can be a bit harsh and bitter if smoked, so this strain is one to save for the vaporizer if consuming directly. its indica body effects take a little longer to feel than the initial head haziness, but once they do, everything will feel fine.",Happy,Relaxed,Uplifted,Euphoric,Focused,Earthy,Pine,Pungent,0,sfv og cali connection hybrid great patients need strong pain relief want stuck couch name indicates og kush relative originates california san fernando valley although names barely distinguishable sfv og kush actually child sfv og flowers stay fairly small may look super impressive lacks looks makes smell pine lemon earthiness sfv exudes bit harsh bitter smoked strain one save vaporizer consuming directly indica body effects take little longer feel initial head haziness everything feel fine
Sfv-Og-Kush,4.5,"sfv og kush, not to be confused with its precursor sfv og, is an indica-dominant strain bred from og kush genetics by the cali connection. by crossing an sfv og clone with an afghani father and selecting for favorable traits over several generations, the indica-heavy sfv og kush was born. you can smell the og genes in this one, as its odor is commonly described as a strong lemon cleaner smell intermixed with pine.",Relaxed,Happy,Euphoric,Uplifted,Sleepy,Pine,Earthy,Lemon,2,sfv og kush confused precursor sfv og strain bred og kush genetics cali connection crossing sfv og clone afghani father selecting favorable traits several generations sfv og kush born smell og genes one odor commonly described strong lemon cleaner smell intermixed pine
Sage-N-Sour,4.2,"sage n sour by t.h. seeds is a 75% sativa strain that unites the sharply pungent sour diesel with their sage hybrid. with an aroma that closely matches the subtle herbal notes of sage, sage n sour delivers a perfect balance of euphoria, energy, and happiness to its consumer. growers will appreciate the generous yields this sativa has to offer following its 60 to 65 day flowering cycle.",Energetic,Happy,Uplifted,Euphoric,Relaxed,Sage,Earthy,Spicy/Herbal,1,sage n sour seeds sativa strain unites sharply pungent sour diesel sage hybrid aroma closely matches subtle herbal notes sage sage n sour delivers perfect balance euphoria energy happiness consumer growers appreciate generous yields sativa offer following day flowering cycle
Salmon-River-Og,4.4,"salmon river og is an indica-dominant strain from oregon breeders dynasty genetics, who combined a pre-98 bubba kush clone with a carefully selected blue heron male, creating a potent and easy-to-grow plant that finishes flowering in 7-8 weeks. the salmon river og may provide excellent pain relief and a heavy indica buzz; it is recommended that novice users take care not to overindulge. dynasty has noted three main phenotypes in this cross, all with a similar terpene profile: a strong berry scent, underlined with hints of chocolate, coffee, lemon, and gasoline, and a similar taste when vaporized or smoked.",Relaxed,Happy,Uplifted,Aroused,Sleepy,Pungent,Spicy/Herbal,Woody,2,salmon river og strain oregon breeders dynasty genetics combined bubba kush clone carefully selected blue heron male creating potent plant finishes flowering weeks salmon river og may provide excellent pain relief heavy indica buzz recommended novice users take care overindulge dynasty noted three main phenotypes cross similar terpene profile strong berry scent underlined hints chocolate coffee lemon gasoline similar taste vaporized smoked
Santa-Maria,4.4,"this tall sativa-dominant blend originates from unclassified brazilian sativas that have been used for generations in spiritual rituals throughout the amazon. shortly after making its way to the netherlands the original genetics were crossed with mexican haze and silver pearl and then backcrossed over multiple generations to improve the stability of the genetics. out of respect for the plant's spiritual legacy, this new crossbreed was renamed and can often be found under the moniker planck. santa maria is known for its rapid flowering time which makes it an attractive option for those who enjoy the uplifting effects but dislike the extended bloom cycle typical of sativa varieties. with hints of fruit and flowery flavors, the effects are described as long-lasting and energetic. this strain has been known to spice things up as it is regularly applauded for its arousing effects.",Relaxed,Happy,Uplifted,Euphoric,Sleepy,Earthy,Sweet,Woody,1,tall blend originates unclassified brazilian sativas used generations spiritual rituals throughout amazon shortly making way netherlands original genetics crossed mexican haze silver pearl backcrossed multiple generations improve stability genetics respect plant spiritual legacy new crossbreed renamed often found moniker planck santa maria known rapid flowering time makes attractive option enjoy uplifting effects dislike extended bloom cycle typical sativa varieties hints fruit flowery flavors effects described energetic strain known spice things regularly applauded arousing effects
Santa-Sativa,4.3,"santa sativa by dinafem seeds is 70/30 sativa-dominant strain with a complex aroma. reeking of lemons, cedar, pine, and incense, santa sativa delivers an elevated terpene profile consumers will fawn over. these unique terpenes are created from the combination of haze #1 and a skunk/northern lights cross, blending an uplifting buzz with mellow euphoria that lingers between the ears. santa sativa grows long, dense jade green buds that finish flowering in about 10 weeks.",Sleepy,Happy,Hungry,Relaxed,Aroused,Blueberry,Berry,Flowery,1,santa sativa dinafem seeds strain complex aroma reeking lemons cedar pine incense santa sativa delivers elevated terpene profile consumers fawn unique terpenes created combination haze lights cross blending uplifting buzz mellow euphoria lingers ears santa sativa grows long dense jade green buds finish flowering weeks
Sapphire-Scout,4.6,"sapphire scout is a local legend grown by vashon velvet in washington state. this sumptuous blend of medical-grade girl scout cookie genetics crossed against true og yields a plant that is equally potent and well-rounded. with thc content pushing 27%, these sweet, pungent buds create a smooth smoke that applies a warming weight to the body and a peaceful lucidity to the mind.  ",Euphoric,Happy,Relaxed,Sleepy,Uplifted,Sweet,Berry,Blueberry,0,sapphire scout local legend grown vashon velvet washington state sumptuous blend girl scout cookie genetics crossed true og yields plant equally potent thc content pushing sweet pungent buds create smooth smoke applies warming weight body peaceful lucidity mind
Sapphire-Star,4.5,"sapphire star, a cross between blue hawaiian sativa and god bud, is a hybrid whose genetics and cerebral effects tip slightly toward the sativa side. this strain from jordan of the islands is quite possibly named for its bluish accents and starry coat of white crystal trichomes. cerebral energy balanced by an indica calm create a comfortable psychoactive experience conducive for creative and social activities. berry overtones tinged with a sour skunk aroma build a complex flavor profile for the small dense buds. sapphire star, with a flowering time of 7 to 8 weeks, grows to a towering 15 feet outdoors and up to 6 feet in indoor gardens. ",Uplifted,Focused,Happy,Euphoric,Relaxed,Grapefruit,Lemon,Sweet,0,sapphire star cross blue hawaiian sativa god bud hybrid whose genetics cerebral effects tip slightly toward sativa side strain jordan islands quite possibly named bluish accents starry coat white crystal trichomes cerebral energy balanced indica calm create comfortable psychoactive experience conducive creative social activities berry overtones tinged sour skunk aroma build complex flavor profile small dense buds sapphire star flowering time weeks grows towering feet outdoors feet indoor gardens
Sasquatch-Sap,4.8,"3c sasquatch sap is a unique and heady sativa, dishing out a strong meditative mental state from the onset that slinks down into the body. the aroma and flavor of this flower’s tightly bound colas are distinctive, leading with a heavy dose of diesel and finishing with tartness on the palate. this strain is a hybrid blend of chem’s sister and chocolate diesel, doling out semi-stimulating qualities that fill the body with warmth while setting the mind free. enjoy this strain before physical activity for a complementary body high, or after physical activity to reinvigorate the mind and im-bue the body with an airy lightness.  ",Creative,Relaxed,Uplifted,Euphoric,Focused,Diesel,Coffee,Earthy,0,sasquatch sap unique heady sativa dishing strong meditative mental state onset slinks body aroma flavor flower tightly bound colas distinctive leading heavy dose diesel finishing tartness palate strain hybrid blend chem sister chocolate diesel doling qualities fill body warmth setting mind free enjoy strain physical activity complementary body high physical activity reinvigorate mind body airy lightness
Satellite-Og,4.9,"bred by satellite, satellite og is an indica-dominant cross between og kush and sfv og. satellite og captures the heavy, long-lasting euphoria typical of og heritage, but despite its strong indica influence, this strain delivers buzzing cerebral energy that keeps creativity sharp. a pungent skunky aroma bursts from the kief-caked buds, but the smell translates on the exhale to sweet candy and invigorating pine. like a satellite ascending into the cosmos, satellite og weightlessly elevates the mood and the mind to a place where happiness meets total relaxation.",Relaxed,Euphoric,Uplifted,Focused,Hungry,Earthy,Woody,Pungent,2,bred satellite satellite og cross og kush sfv og satellite og captures heavy euphoria typical og heritage despite strong indica influence strain delivers buzzing cerebral energy keeps creativity sharp pungent skunky aroma bursts buds smell translates exhale sweet candy invigorating pine like satellite ascending cosmos satellite og weightlessly elevates mood mind place happiness meets total relaxation
Satori,4.1,this strain is a true hybrid in that it is a 50/50 mix of sativa and indica. mandala seeds bred satori by crossing lucid dream with another unnamed sativa hybrid. satori plants flower within 9-10 weeks and produce light green buds with plenty of crystals. the flowers have a unique aroma that is reminiscent of tea and honey.,Creative,Euphoric,Uplifted,Happy,Energetic,Mango,Earthy,Pine,0,strain true hybrid mix sativa indica mandala seeds bred satori crossing lucid dream another unnamed sativa hybrid satori plants flower within weeks produce light green buds plenty crystals flowers unique aroma reminiscent tea honey
Saturn-Og,4.5,"saturn og is a hybrid strain with mysterious beginnings, but its earthy citrus and diesel flavors confirms its close relationship to og kush. its undocumented origins result in this strain being labeled as indica, sativa, and everything in between, but its effects are most commonly described as hybrid-like in its balanced calm and moderate cerebral effects. saturn og’s forest green buds are lit by a constellation of crystal trichomes, and this og kush relative is often lumped into a “planetary strain” series that includes earth og and jupiter og. the psychoactive onset of saturn og begins with an intense burst of euphoria that fades to smooth relaxation perfect for relieving stress and muscle tension. ",Happy,Relaxed,Euphoric,Uplifted,Sleepy,Earthy,Sweet,"Tree,Fruit",0,saturn og hybrid strain mysterious beginnings earthy citrus diesel flavors confirms close relationship og kush undocumented origins result strain labeled indica sativa everything effects commonly described balanced calm moderate cerebral effects saturn og forest green buds lit constellation crystal trichomes og kush relative often lumped planetary strain series includes earth og jupiter og psychoactive onset saturn og begins intense burst euphoria fades smooth relaxation perfect relieving stress muscle tension
Savage-Citrus-Sunshine,4.5,"savage citrus sunshine by cereal killer genetics is a citrus sunshine haze phenotype with potency on tap. finishing in approximately 8 weeks and producing a dense crop of trichome-coated buds, savage citrus sunshine offers highly potent flowering for consumers with high-potency needs. the strain emits a distinct grapefruit flavor with a hashy aftertaste and the effects “kick like bruce lee,” so says the stinky shaman. enjoy savage citrus sunshine to elevate mood and moderate minor physical discomfort, but beware, this strain’s physical and mental effects can be overwhelming for unseasoned consumers. ",Sleepy,Aroused,Talkative,Tingly,Uplifted,Citrus,Grapefruit,Earthy,0,savage citrus sunshine cereal killer genetics citrus sunshine haze phenotype potency tap finishing approximately weeks producing dense crop buds savage citrus sunshine offers highly potent flowering consumers needs strain emits distinct grapefruit flavor hashy aftertaste effects kick like bruce lee says stinky shaman enjoy savage citrus sunshine elevate mood moderate minor physical discomfort beware strain physical mental effects overwhelming unseasoned consumers
Savants-Grail,4.8,"savant’s grail is a hybrid strain from michigan bred by 710 savant. the undertones of piney kush, diesel fumes and a sweet, candied flavor that helped it take home 2nd place for hybrid flowers at the michigan cannabis cup in 2015.",Aroused,Tingly,Uplifted,Euphoric,Focused,Sweet,Flowery,Earthy,0,savant grail hybrid strain michigan bred savant undertones piney kush diesel fumes sweet candied flavor helped take home place hybrid flowers michigan cannabis cup
Schrom,4.3,"schrom is a 70% sativa strain that delivers a clear-headed buzz with a pungent lemon and lime aroma. its genetics are subject to debate, but many believe this sativa was parented by romulan and either silver haze or santa marta colombian gold. its aroma fills the room with an enticing citrus aroma, but arguably schrom’s greatest merit is the mental clarity and functional buzz to come. during the day, schrom relaxes the body without slowing the mind and leaves you alert enough to focus on the day’s tasks. however, enjoying this strain late in the evening may be all it takes to fall into a good night’s sleep.",Happy,Uplifted,Creative,Euphoric,Aroused,Lemon,Citrus,Lime,1,schrom sativa strain delivers buzz pungent lemon lime aroma genetics subject debate many believe sativa parented romulan either silver haze santa marta colombian gold aroma fills room enticing citrus aroma arguably schrom greatest merit mental clarity functional buzz come day schrom relaxes body without slowing mind leaves alert enough focus day tasks however enjoying strain late evening may takes fall good night sleep
Scooby-Snack,4.6,"scooby snacks is an indica-dominant hybrid that crosses platinum girl scout cookies with face off og. its dense purple buds are full of piney og kush flavor and a sweet aftertaste. don’t underestimate the potency of scooby snacks! the combination of popular west coast genetics brings on stimulating cerebral effects that weigh heavy on your eyes and slowly relax the body. the end result is a calm, happy experience that keeps depression away and can help rock you to sleep.",Happy,Relaxed,Euphoric,Uplifted,Sleepy,Earthy,Pungent,Woody,0,scooby snacks hybrid crosses platinum girl scout cookies face og dense purple buds full piney og kush flavor sweet aftertaste underestimate potency scooby snacks combination popular west coast genetics brings stimulating cerebral effects weigh heavy eyes slowly relax body end result calm happy experience keeps depression away help rock sleep
Scotts-Og,4.6,"scott’s og is an indica-dominant hybrid strain bred by rare dankness seeds, who crossed triangle kush with their rare dankness #1 to create this prominent og variety. designed with the veteran in mind, scott’s og has potently euphoric effects that a novice or occasional consumer might find jarring. a thick blanket of crystal trichomes covers its buds like a fur coat, which should serve as a warning of this strain’s intense effects. true to its og heritage, scott’s og gives off an earthy, sour aroma that is sweetened by citrusy lemon flavors.",Relaxed,Euphoric,Sleepy,Happy,Tingly,Lemon,Pine,Woody,0,scott og hybrid strain bred rare dankness seeds crossed triangle kush rare dankness create prominent og variety designed veteran mind scott og potently euphoric effects novice occasional consumer might find jarring thick blanket crystal trichomes covers buds like fur coat serve warning strain intense effects true og heritage scott og gives earthy sour aroma sweetened citrusy lemon flavors
Scouts-Honor,5.0,"scout’s honor is an indica-dominant hybrid created by bert baccarat and produced by los angeles kush. this strain grows dense, resinous buds with sporadic purple foliage and a generous dusting of trichomes. scout’s honor is a cross of ogkb (og kush breath) and og kush, giving the strain a pungent, earthy aroma overlaid with a doughy sweetness. this savory and sweet strain stimulates the appetite while imbuing the consumer with weighted, euphoric relaxation. enjoy scout’s honor to help with stress, insomnia, and minor pain relief.  ",Relaxed,Creative,Giggly,Talkative,Uplifted,Sweet,Tropical,Flowery,0,scout honor hybrid created bert baccarat produced los angeles kush strain grows dense resinous buds sporadic purple foliage generous dusting trichomes scout honor cross ogkb og kush breath og kush giving strain pungent earthy aroma overlaid doughy sweetness savory sweet strain stimulates appetite imbuing consumer weighted euphoric relaxation enjoy scout honor help stress insomnia minor pain relief
Scroopy-Noopers,5.0,"scroopy noopers by green dream is a modern homage to fictional environmental activist and son of king flippy nips in the terrestrial tv sensation 'rick and morty.' this strain was created by crossing girl scout cookies and stardawg, and it emits a pleasant and rich smell of coffee and cacao. its earthy terpene profile offers sweet aromas alongside a sharp, acrid undertone that gives the strain uniqueness and dimension. scroopy noopers’ deeply relaxing effects make it well-suited for consumers seeking to combat muscle spasms, pain, and general restlessness. ",Euphoric,Hungry,Relaxed,,,None,,,0,scroopy noopers green dream modern homage fictional environmental activist son king flippy nips terrestrial tv sensation morty strain created crossing girl scout cookies stardawg emits pleasant rich smell coffee cacao earthy terpene profile offers sweet aromas alongside sharp acrid undertone gives strain uniqueness dimension scroopy noopers deeply relaxing effects make consumers seeking combat muscle spasms pain general restlessness
Seattle-Blue,4.5,the seattle blue strain of cannabis provides a strong euphoric body high.  the sweet and fruity taste makes this a very pleasant indica.,Euphoric,Relaxed,Uplifted,Happy,Hungry,Sweet,Blueberry,Pungent,2,seattle blue strain cannabis provides strong euphoric body high sweet fruity taste makes pleasant indica
Seattle-Cough,4.7,"seattle cough is a potent, sativa-dominant hybrid grown by dutch brothers in washington. its legend takes root from a clone of dutch cough, a sativa-led cross of northern lights #5 and haze #2. in 1991, a small network of american growers, with ties to the original breeders, obtained a dutch cough clone from the prized mother plant in amsterdam. as the plant migrated to north america the growers kept the cough surname, interchanging the region or city it represented. starting with colorado cough, the genetics spread northwest to include seattle cough as well as canadian cough.seattle cough (no relation to strawberry cough) carries a pungent mix of pine and citrus flavors. the aroma of fresh grapefruit serves as a precursor to the uplifting sativa effects, sparking creativity and dreamy euphoria. medical patients appreciate seattle cough’s ability to curb stress and depression while fighting fatigue and nausea. ",Happy,Uplifted,Energetic,Relaxed,Creative,Pine,Citrus,Grapefruit,1,seattle cough potent hybrid grown dutch brothers washington legend takes root clone dutch cough cross northern lights haze small network american growers ties original breeders obtained dutch cough clone prized mother plant amsterdam plant migrated north america growers kept cough surname interchanging region city represented starting colorado cough genetics spread northwest include seattle cough well canadian cough relation strawberry cough carries pungent mix pine citrus flavors aroma fresh grapefruit serves precursor uplifting sativa effects sparking creativity dreamy euphoria medical patients appreciate seattle cough ability curb stress depression fighting fatigue nausea
Seattlesoda,0.0,"seattlesoda is a multigenerational breeding project between superseed company and mikehydro. this strain began with superseed’s sodalicious male which was then crossed with seattle’s own uw purple. the first generation of this cross went on to propagate all known seattlesoda seed stock currently in the wild, but several unique phenotypes have also appeared up and down the west coast. seattlesoda emits an enchanting aroma of grape candy, frosting, and effervescent sweetness. this is an incredibly heavy hybrid that petrifies the body with blissful, stoney relaxation",None,,,,,None,,,0,seattlesoda multigenerational breeding project superseed company mikehydro strain began superseed sodalicious male crossed seattle uw purple first generation cross went propagate known seattlesoda seed stock currently wild several unique phenotypes also appeared west coast seattlesoda emits enchanting aroma grape candy frosting effervescent sweetness incredibly heavy hybrid petrifies body blissful stoney relaxation
